neighborhood,category,class_name,severity,confidence,lat,lon,source_image
City Heights,Underserved,Longitudinal Crack,Light,0.358,32.747141,-117.107071,img_0198_S_32-747141_-117-107071_jpg.rf.42f74f7111c7b38f0ddd6e071847390e.jpg
City Heights,Underserved,Transverse Crack,Light,0.337,32.747141,-117.107071,img_0198_S_32-747141_-117-107071_jpg.rf.42f74f7111c7b38f0ddd6e071847390e.jpg
City Heights,Underserved,Transverse Crack,Light,0.326,32.747141,-117.107071,img_0198_S_32-747141_-117-107071_jpg.rf.42f74f7111c7b38f0ddd6e071847390e.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.274,32.747141,-117.107071,img_0198_S_32-747141_-117-107071_jpg.rf.42f74f7111c7b38f0ddd6e071847390e.jpg
City Heights,Underserved,Side_Walk,N/A,0.355,32.747141,-117.107071,img_0199_W_32-747141_-117-107071_jpg.rf.1a1c7fbb288bcff32a842924ac2bad96.jpg
Encanto,Underserved,Alligator Crack,Severe,0.658,32.7033,-117.0824,img_0205_E_32-7033_-117-0824_jpg.rf.079191f21792a25650e96508fb848c3d.jpg
Encanto,Underserved,Transverse Crack,Light,0.583,32.7033,-117.0824,img_0205_E_32-7033_-117-0824_jpg.rf.079191f21792a25650e96508fb848c3d.jpg
Encanto,Underserved,Pothole,Severe,0.453,32.7033,-117.0824,img_0205_E_32-7033_-117-0824_jpg.rf.079191f21792a25650e96508fb848c3d.jpg
Encanto,Underserved,Longitudinal Crack,Light,0.311,32.7033,-117.0824,img_0205_E_32-7033_-117-0824_jpg.rf.079191f21792a25650e96508fb848c3d.jpg
Encanto,Underserved,Alligator Crack,Severe,0.258,32.7033,-117.0824,img_0205_E_32-7033_-117-0824_jpg.rf.079191f21792a25650e96508fb848c3d.jpg
Encanto,Underserved,Alligator Crack,Severe,0.321,32.7205,-117.0698,img_0232_N_32-7205_-117-0698_jpg.rf.4ae40b4ff7c183e8b4fb4d349a05eef9.jpg
Encanto,Underserved,Alligator Crack,Severe,0.27,32.7205,-117.0698,img_0232_N_32-7205_-117-0698_jpg.rf.4ae40b4ff7c183e8b4fb4d349a05eef9.jpg
Encanto,Underserved,Alligator Crack,Severe,0.698,32.7162,-117.075,img_0240_N_32-7162_-117-075_jpg.rf.8a2b040451f81a92d003d11722ac229e.jpg
